"id","folder","file","imagetypesetid","width","height","caption","title","creation_date","googlephotos_baseurl","googlephotos_filename","flickr_secret","flickr_secret_h","flickr_secret_k","flickr_secret_o","flickr_server","flickr_farm","flickr_originalformat","s3_etag","s3_etag_thumbnails","url","exif","ordering","ismainimage","ismainimageonly","type","hits","published","userid","modified","created"
"1","Regina Poloniae w Atenach Roztocza","a5991c0c1688d26e8df12a45eb8985e4",NULL,"1024","768",,,"20220921115310","https://lh3.googleusercontent.com/pw/AP1GczNsuBycxLzsx0A58Y20_TyGLtXswKlKE5W9CPjESolhK-nR3cL6xZSdh_PnFMtrRphnQtg0EfI7F4EhyiTyzxEsjqmL30_O-P5_SnBvX6jKtrD2JQ","a5991c0c1688d26e8df12a45eb8985e4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"{""fstop"":"""",""focallength"":"""",""exposuretime"":"""",""model"":"""",""iso"":"""",""filename"":""a5991c0c1688d26e8df12a45eb8985e4""}","0","0","0","image","0","1","0","2025-03-15 18:32:02","2024-03-21 14:58:38"
"2","Regina Poloniae w Atenach Roztocza","e50400d7cc247eb1484399306bd0dc39",NULL,"1024","768",,,"20220921115334","https://lh3.googleusercontent.com/pw/AP1GczMFrm-SpzvqCFnSArMJ6z5wMpNgMqzF4GTD_oXii6Da4PzoYEinMRzh0pVEqvI6Pst49JyyUz41gwcVcU8QHrIBDQ_Z2sJRujvumUYhNYyvqw7hNg","e50400d7cc247eb1484399306bd0dc39",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"{""fstop"":"""",""focallength"":"""",""exposuretime"":"""",""model"":"""",""iso"":"""",""filename"":""e50400d7cc247eb1484399306bd0dc39""}","1","0","0","image","0","1","0","2025-03-15 18:32:02","2024-03-21 14:58:38"
"3","Regina Poloniae w Atenach Roztocza","22ce419f6661d78759611b5e7494da36",NULL,"1024","768",,,"20220921115355","https://lh3.googleusercontent.com/pw/AP1GczP1nhfWnQGxkFN8tXs50s7itsg5tKCoT015ZpycJLodxnncSz1SSKuoi4JRmNn3dQtcmq9Xq7gRoIpWrWjdGDCjHKOWVRBZee2UIbYc2JsGo9wmmQ","22ce419f6661d78759611b5e7494da36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"{""fstop"":"""",""focallength"":"""",""exposuretime"":"""",""model"":"""",""iso"":"""",""filename"":""22ce419f6661d78759611b5e7494da36""}","2","0","0","image","0","1","0","2025-03-15 18:32:02","2024-03-21 14:58:38"
"4","Regina Poloniae w Atenach Roztocza","79fadebdd25d5ce54885bca5809e8deb",NULL,"1024","768",,,"20220921115410","https://lh3.googleusercontent.com/pw/AP1GczO1PUnnYxke8uJP0VC3tnjyRA1m-uyQAsr8UhncCOj3TEo1vqYJQ9kuoMrNKigwRycwDr1ppEi7RRnXkvn5Yo00Xj1puxPfj2RUjMrkoXMlC7VFFQ","79fadebdd25d5ce54885bca5809e8deb",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"{""fstop"":"""",""focallength"":"""",""exposuretime"":"""",""model"":"""",""iso"":"""",""filename"":""79fadebdd25d5ce54885bca5809e8deb""}","3","0","0","image","0","1","0","2025-03-15 18:32:02","2024-03-21 14:58:38"
"5","Regina Poloniae w Atenach Roztocza","2c3cb10812697c977cc908665b8229d8",NULL,"1025","768",,,"20220921115519","https://lh3.googleusercontent.com/pw/AP1GczMa-RsIdciILJGca123QPxYsprsb5yq8PMDLguYn4H6ydyv15j_y5V1AZKZEZVSGLAEfRozSZrj7gl1AD87bZEb0KzaphBd25OopKQFd8lvzYJqSw","2c3cb10812697c977cc908665b8229d8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"{""fstop"":"""",""focallength"":"""",""exposuretime"":"""",""model"":"""",""iso"":"""",""filename"":""2c3cb10812697c977cc908665b8229d8""}","4","0","0","image","0","1","0","2025-03-15 18:32:02","2024-03-21 14:58:38"
"6","Regina Poloniae w Atenach Roztocza","d09c26a579466e52f173cf9213eef616",NULL,"1024","768",,,"20220921115528","https://lh3.googleusercontent.com/pw/AP1GczNd08mfHsLVsVx0G7aNIrmrFJMEB8Bvzz2xpgqOcBZQn1OrLCR7UEAWS1hNKN2CZC0CtaxLGNZQ60Ejk6A1rKzPBOiGzCAngJN8jXL6oKG_2mnE7Q","d09c26a579466e52f173cf9213eef616",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"{""fstop"":"""",""focallength"":"""",""exposuretime"":"""",""model"":"""",""iso"":"""",""filename"":""d09c26a579466e52f173cf9213eef616""}","5","0","0","image","0","1","0","2025-03-15 18:32:02","2024-03-21 14:58:38"
"7","Regina Poloniae w Atenach Roztocza","4a7e42150e4e5f3e45de253cc45d1bb8",NULL,"1024","768",,,"20220921115534","https://lh3.googleusercontent.com/pw/AP1GczMpTnAc6Xj4s_qyI893_PnDrXfui8gUZKKRv7GwixZ48s_YVeDYcewoVwro2CFk1mz60AApoUMHgk_r5LDad8-_9BHyPe-WbphUD0elQjR0DGl2bw","4a7e42150e4e5f3e45de253cc45d1bb8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"{""fstop"":"""",""focallength"":"""",""exposuretime"":"""",""model"":"""",""iso"":"""",""filename"":""4a7e42150e4e5f3e45de253cc45d1bb8""}","6","0","0","image","0","1","0","2025-03-15 18:32:02","2024-03-21 14:58:38"
"8","Regina Poloniae w Atenach Roztocza","d2eef24baf3d063087eba5caee4fea95",NULL,"1025","768",,,"20220921115543","https://lh3.googleusercontent.com/pw/AP1GczNgbaYPnIkm_4jj8Ph97T_vN1kPnFekg_z0mtLA_iVT2K_KaqnCZATdMKjTgNBAn1ZDLwNJ5D4Xn2MSnEEUX7Smh0M-LCPleu9F_QCSkBN_WsPc6Q","d2eef24baf3d063087eba5caee4fea95",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"{""fstop"":"""",""focallength"":"""",""exposuretime"":"""",""model"":"""",""iso"":"""",""filename"":""d2eef24baf3d063087eba5caee4fea95""}","7","0","0","image","0","1","0","2025-03-15 18:32:02","2024-03-21 14:58:38"
"9","Regina Poloniae w Atenach Roztocza","0d9597b38a669dbeba42eaa8cd7ddb88",NULL,"1024","768",,,"20220921115553","https://lh3.googleusercontent.com/pw/AP1GczM2hIMND9x33Xqrk1yT0rZuMLZ5OuBFXtcBDmbvuKY1UD5DybTqfJAQsGn4xT3S9Qmikd72dvuSeVSiOU-ldf7g8-mB4_lmFvtbwcOzlUx70o-EBQ","0d9597b38a669dbeba42eaa8cd7ddb88",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"{""fstop"":"""",""focallength"":"""",""exposuretime"":"""",""model"":"""",""iso"":"""",""filename"":""0d9597b38a669dbeba42eaa8cd7ddb88""}","8","0","0","image","0","1","0","2025-03-15 18:32:02","2024-03-21 14:58:38"
"10","Regina Poloniae w Atenach Roztocza","aee21eef92a52b51ce8f957ba74c66ec",NULL,"576","768",,,"20220921115613","https://lh3.googleusercontent.com/pw/AP1GczMPTaCva352S-Q2A_3Nru16xYlZ17mWHbAhq-JwyP60CSatPzGjz51Q8sxo9PWmgshBMtF72ydX5r2d6yCEkNzBJMRFAmy2Mot02IKEyxKeRFzSEQ","aee21eef92a52b51ce8f957ba74c66ec",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"{""fstop"":"""",""focallength"":"""",""exposuretime"":"""",""model"":"""",""iso"":"""",""filename"":""aee21eef92a52b51ce8f957ba74c66ec""}","9","0","0","image","0","1","0","2025-03-15 18:32:02","2024-03-21 14:58:38"
"11","Od Darka Szozdy","f527d0837faf9b31106cd88f3ab1b2d2",NULL,"1200","801",,,"20240318222310","https://lh3.googleusercontent.com/pw/AP1GczOllCyMfz8kwflVGn0SPG1c0-umZmvWVT_Wk3siZI_1djNVleX-uMhK0sLk6CFOw7-AfIQpO_2oucpFIyvcD1pocQ9YVulXaR-x6t4Q7_vntYY3xM4","f527d0837faf9b31106cd88f3ab1b2d2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"{""fstop"":"""",""focallength"":"""",""exposuretime"":"""",""model"":"""",""iso"":"""",""filename"":""f527d0837faf9b31106cd88f3ab1b2d2""}","0","0","0","image","0","1","0","2026-04-01 14:38:12","2024-03-21 15:55:36"
"12","Od Darka Szozdy","bee137d6dc338975e26da8b406498cd3",NULL,"1200","675",,,"20240318222313","https://lh3.googleusercontent.com/pw/AP1GczNmPEFaOMmfvh-Efsjub0Uze0Erp1_wyM6wvbUx0snjuEOubmR5qYQrsOzb_MoUD_x6Vmq9u3p0wlYaDd31HI6UGUZpL3kLfhmlzQh-yQVG9YadLpk","bee137d6dc338975e26da8b406498cd3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"{""fstop"":"""",""focallength"":"""",""exposuretime"":"""",""model"":"""",""iso"":"""",""filename"":""bee137d6dc338975e26da8b406498cd3""}","1","0","0","image","0","1","0","2026-04-01 14:38:12","2024-03-21 15:55:36"
"13","Od Darka Szozdy","02c4c8ee9b9ce86ef174600d7a27a8da",NULL,"1200","801",,,"20240318222310","https://lh3.googleusercontent.com/pw/AP1GczMBCyduKQYbIZWCeaRP5vsU824-O_2a1oT95z2o57zaJiIEBONwElpswjTVMqeZRwf1H-KxkkJ1GDkSu7cDzq9a9ptIi7K59Bx9ZPBkBakDQa9E0tY","02c4c8ee9b9ce86ef174600d7a27a8da",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"{""fstop"":"""",""focallength"":"""",""exposuretime"":"""",""model"":"""",""iso"":"""",""filename"":""02c4c8ee9b9ce86ef174600d7a27a8da""}","2","0","0","image","0","1","0","2026-04-01 14:38:12","2024-03-21 15:55:36"
